Reference_Number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_url,made_in,case_shape,Case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,Case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
5585-ST-60001,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Gents,Raymond Weil,,Toccata,Toccata Classic Men's Steel Grey Dial Quartz Watch,Toccata Classic Men's Steel Grey Dial Quartz Watch,,,USD,950,https://www.raymond-weil.us/wp-content/uploads/2019/03/RW_toccata_5585-st-60001_packshot.png,Switzerland,Round,Stainless steel,,Snapped,42 mm, , ,6 mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"Grey, with indexes","Grey, with indexes",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Refined design and timeless materials: toccata will impress men on whom time holds no dominion. This elegant and timeless collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes RAYMOND WEIL’s Swiss horology while respecting the tradition and heritage handed down from generation to generation within the family company.","Stainless Steel With Yellow Gold PVD Plated Case, White Dial, Applied Roman Numeral Indexes, Railway-Track Chapter Ring"
5585-STC-00659,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Gents,Raymond Weil,,Toccata,"Toccata Men's Classic Silver Dial Leather Quartz Watch, 42mm","Toccata Men's Classic Silver Dial Leather Quartz Watch, 42mm",,,USD,775,https://www.raymond-weil.us/wp-content/uploads/2023/03/RW_toccata_5585-stc-00659_rvb_700x860px_72dpi.png,Switzerland,Round,Stainless steel,,Snapped,42 mm, , ,6 mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"Silver, with applied Roman numerals","Silver, with applied Roman numerals",Genuine calf leather strap with alligator motif,Genuine calf leather strap with alligator motif,Stainless steel traditional buckle,Quartz,Quartz,,,,,"Equipped with a quartz movement, this toccata men’s watch features a sleek stainless steel 42 mm case with a date window at 3 o’clock. The silver lacquered and sunray satin-finished dial is set with applied Roman numeral indexes and has a railway-track chapter ring that aids readability. To complement this modern classic, alligator motifs have been added on the strap.
Refined design and timeless materials: the toccata collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata timepieces promote the Swiss horology of RAYMOND WEIL while respecting the tradition and heritage handed down from generation to generation within the family company.","Black Leather Strap, Silver Dial, Stainless Steel Case, Roman Numeral Indexes, Railway-Track Chapter Ring"
5585-STC-00353,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Gents,Raymond Weil,,Toccata,"Toccata Men's Classic White Dial Leather Quartz Watch, 42mm","Toccata Men's Classic White Dial Leather Quartz Watch, 42mm",,,USD,775,https://www.raymond-weil.us/wp-content/uploads/2023/03/RW_toccata_5585-stc-00353_rvb_700x860px_72dpi.png,Switzerland,Round,Stainless steel,,Snapped,42 mm, , ,6 mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"White, with Applied Roman numerals","White, with Applied Roman numerals",Genuine calf leather strap with alligator motif,Genuine calf leather strap with alligator motif,Stainless steel traditional buckle,Quartz,Quartz,,,,,"Equipped with a quartz movement, this toccata men’s watch features a sleek stainless steel 42 mm case with a date window at 3 o’clock. The white lacquered dial is set with applied Roman numeral indexes and has a railway-track chapter ring that aids readability. To complement this modern classic, alligator motifs have been added on the strap.
Refined design and timeless materials: the toccata collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata timepieces promote the Swiss horology of RAYMOND WEIL while respecting the tradition and heritage handed down from generation to generation within the family company.","Black Leather Strap, White Dial, Stainless Steel Case, Applied Roman Numeral Indexes, Railway-Track Chapter Ring"
5485-P-00359,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Gents,Raymond Weil,,Toccata,"Toccata Men's Classic Gold PVD White Dial Quartz Watch, 39mm","Toccata Men's Classic Gold PVD White Dial Quartz Watch, 39mm",,,USD,1150,https://www.raymond-weil.us/wp-content/uploads/2023/04/RW_toccata_5485-p-00359_rvb_700x860px_72dpi.png,Switzerland,Round,Stainless steel with yellow gold PVD plating,,Snapped,39 mm, , ,7.89 mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"White, with applied Roman numerals","White, with applied Roman numerals",Stainless steel with yellow gold PVD plating,Stainless steel with yellow gold PVD plating,Stainless steel folding clasp with yellow gold PVD plating and double push-security system,Quartz,Quartz,,,,,"Equipped with a quartz movement and made entirely of stainless steel, this toccata men’s watch features a 39 mm stainless steel case with yellow gold PVD plating and a date window at 3 o’clock. The white lacquered dial is set with applied Roman numeral indexes and has a railway-track chapter ring that aids readability. To complement this modern classic, a pair of blue hands has been added.
Refined design and timeless materials: the toccata collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata timepieces promote the Swiss horology of RAYMOND WEIL while respecting the tradition and heritage handed down from generation to generation within the family company.","Stainless Steel With Yellow Gold PVD Plated Case, White Dial, Applied Roman Numeral Indexes, Railway-Track Chapter Ring"
5485-P-00300,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Gents,Raymond Weil,,Toccata,Toccata Classic Men's Gold White Dial Quartz Watch,Toccata Classic Men's Gold White Dial Quartz Watch,,,USD,1150,https://www.raymond-weil.us/wp-content/uploads/2019/03/RW_toccata_5485-p-00300_packshot.png,Switzerland,round,stainless steel with yellow gold PVD plating,,snapped,39 mm, , ,7.89 mm,,,sapphire,"50 m, 165 ft, 5 atm",,"white, with Roman numerals","white, with Roman numerals",stainless steel with yellow gold PVD plating,stainless steel with yellow gold PVD plating,stainless steel folding clasp with double push-security system,quartz,quartz,,,,,"Refined design and timeless materials: toccata will impress men on whom time holds no dominion. This elegant and timeless collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes RAYMOND WEIL’s Swiss horology while respecting the tradition and heritage handed down from generation to generation within the family company.","Black Leather Strap, Silver Dial, Stainless Steel Case, Roman Numeral Indexes, Railway-Track Chapter Ring"
5485-PC-00359,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Gents,Raymond Weil,,Toccata,"Toccata Men's Classic Gold PVD Leather Quartz Watch, 39 mm","Toccata Men's Classic Gold PVD Leather Quartz Watch, 39 mm",,,USD,995,https://www.raymond-weil.us/wp-content/uploads/2023/02/toccata_5485-pc-00359_rvb_72dpi-1.png,Switzerland,Round,Stainless steel with yellow gold PVD plating,,Snapped,39 mm, , ,7.89 mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"White, with applied Roman numerals","White, with applied Roman numerals",Genuine calf leather strap with alligator motif,Genuine calf leather strap with alligator motif,Stainless steel traditional buckle with yellow gold PVD plating,Quartz,Quartz,,,,,"Equipped with a quartz movement, this toccata men’s watch features a stainless steel 39 mm case with yellow gold PVD plating and a date window at 3 o’clock. The white lacquered dial is set with applied Roman numeral indexes and has a railway-track chapter ring that aids readability. To complement this modern classic, alligator motifs have been added on the strap.
Refined design and timeless materials: the toccata collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes the Swiss horology of RAYMOND WEIL while respecting the tradition and heritage handed down from generation to generation within the family company.","Black Leather Strap, White Dial, Stainless Steel With Yellow Gold PVD Plated Case, Applied Roman Numeral Indexes, Railway-Track Chapter Ring"
5485-STP-00359,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Gents,Raymond Weil,,Toccata,"Toccata Men's Classic Two-Tone Gold PVD Quartz Watch, 39 mm","Toccata Men's Classic Two-Tone Gold PVD Quartz Watch, 39 mm",,,USD,995,https://www.raymond-weil.us/wp-content/uploads/2023/04/RW_toccata_5485-stp-00359_rvb_700x860px_72dpi.png,Switzerland,Round,Stainless steel with yellow gold PVD plating,,Snapped,39 mm, , ,7.89 mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"White, with applied Roman numerals","White, with applied Roman numerals",Stainless steel with yellow gold PVD plating,Stainless steel with yellow gold PVD plating,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Equipped with a quartz movement and made entirely of stainless steel, this toccata timepiece features a 39 mm two-tone case with yellow gold PVD plating and a date window at 3 o’clock. The white lacquered dial is set with applied Roman numeral indexes and has a railway-track chapter ring that aids readability. To complement this modern classic, a pair of blue hands has been added.
Refined design and timeless materials: the toccata collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata timepieces promote the Swiss horology of RAYMOND WEIL while respecting the tradition and heritage handed down from generation to generation within the family company.","Stainless Steel Two-Tone Bracelet, Stainless Steel With Yellow Gold PVD Plated Case, White Dial, Applied Roman Numeral Indexes, Railway-Track Chapter Ring"
5485-SP5-20001,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Gents,Raymond Weil,,Toccata,Toccata Classic Men's Steel Black Dial Quartz Watch,Toccata Classic Men's Steel Black Dial Quartz Watch,,,USD,995,https://www.raymond-weil.us/wp-content/uploads/2019/09/RW_toccata_5485-sp5-20001_packshot.png,Switzerland,round,Stainless steel with rose gold PVD plating,,snapped,39 mm, , ,7.82 mm,,,sapphire,"50 m, 165 ft, 5 atm",,"Black, with indexes","Black, with indexes",Stainless steel with rose gold PVD plating,Stainless steel with rose gold PVD plating,Stainless steel folding clasp with double push-security system,quartz,quartz,,,,,"Refined design and timeless materials: toccata will impress men on whom time holds no dominion. This elegant and timeless collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes RAYMOND WEIL’s Swiss horology while respecting the tradition and heritage handed down from generation to generation within the family company.","Black Leather Strap, Silver Dial, Stainless Steel Case, Roman Numeral Indexes, Railway-Track Chapter Ring"
5485-SL5-65001,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Gents,Raymond Weil,,Toccata,Toccata Classic Men's Silver Quartz Watch,Toccata Classic Men's Silver Quartz Watch,,,USD,775,https://www.raymond-weil.us/wp-content/uploads/2019/03/RW_toccata_5485-sl5-65001_packshot.png,Switzerland,Round,Stainless steel,,Snapped,39 mm, , ,7.89 mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"Silver, with indexes","Silver, with indexes",Genuine calf leather strap with alligator motif,Genuine calf leather strap with alligator motif,Stainless steel traditional buckle,Quartz,Quartz,,,,,"Refined design and timeless materials: toccata will impress men on whom time holds no dominion. This elegant and timeless collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes RAYMOND WEIL’s Swiss horology while respecting the tradition and heritage handed down from generation to generation within the family company.","Black Leather Strap, Silver Dial, Stainless Steel Case, Roman Numeral Indexes, Railway-Track Chapter Ring"
5485-ST-00300,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Gents,Raymond Weil,,Toccata,Toccata Classic Men's White Dial Quartz Watch,Toccata Classic Men's White Dial Quartz Watch,,,USD,950,https://www.raymond-weil.us/wp-content/uploads/2019/03/Sans-titre-78.png,Switzerland,round,stainless steel,,snapped,39 mm, , ,7.89 m,,,sapphire,"50 m, 165 ft, 5 atm",,"white, with Roman numerals","white, with Roman numerals",stainless steel,stainless steel,stainless steel folding clasp with double push-security system,quartz,quartz,,,,,"This elegant and timeless collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes RAYMOND WEIL’s Swiss horology while respecting the tradition and heritage handed down from generation to generation within the family company.","Black Leather Strap, Silver Dial, Stainless Steel Case, Roman Numeral Indexes, Railway-Track Chapter Ring"
